================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee118_3_0300.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee118_3_0300.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/25/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 118 Bus Test Case
Número de barras:              118 
Número de ramos:               186 
Referência na barra:           69

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  0 0.015 01.1  0.00495   +0.99045   +0.99435     +0.393760 
   2    0    2  6   0  0 0.015 01.1  0.00496   +0.99176   +0.98750     -0.429539 
   3    0    3  6   0  0 0.015 01.1  0.00497   +0.99398   +0.99967     +0.572446 
   4    0    4  6   0  0 0.015 01.1  0.00499   +0.99800   +0.98468     -1.334669 
   5    0    5  6   0  0 0.015 01.1  0.00501   +1.00207   +0.99687     -0.518926 
   6    0    6  6   0  0 0.015 01.1  0.00496   +0.99272   +0.99608     +0.338464 
   7    0    7  6   0  0 0.015 01.1  0.00496   +0.99270   +1.00708     +1.448575 
   8    0    8  6   0  0 0.015 01.1  0.00507   +1.01500   +1.01362     -0.135961 
   9    0    9  6   0  0 0.015 01.1  0.00525   +1.05004   +1.04227     -0.739972 
  10    0   10  6   0  0 0.015 01.1  0.00525   +1.05000   +1.03542     -1.388571 
  11    0   11  6   0  0 0.015 01.1  0.00498   +0.99502   +0.99695     +0.193966 
  12    0   12  6   0  0 0.015 01.1  0.00496   +0.99269   +0.97916     -1.362963 
  13    0   13  6   0  0 0.015 01.1  0.00498   +0.99586   +1.00894     +1.313438 
  14    0   14  6   0  0 0.015 01.1  0.00498   +0.99564   +0.99426     -0.138604 
  15    0   15  6   0  0 0.015 01.1  0.00500   +0.99979   +1.01088     +1.109233 
  16    0   16  6   0  0 0.015 01.1  0.00498   +0.99701   +1.00978     +1.280830 
