================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee118_16_1600.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee118_16_1600.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/25/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 118 Bus Test Case
Número de barras:              118 
Número de ramos:               186 
Referência na barra:           69

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  0 0.015 01.1  0.00475   +0.94986   +0.95307     +0.337945 
   2    0    2  6   0  0 0.015 01.1  0.00481   +0.96260   +0.95448     -0.843549 
   3    0    3  6   0  0 0.015 01.1  0.00481   +0.96139   +0.96903     +0.794683 
   4    0    4  6   0  0 0.015 01.1  0.00499   +0.99800   +1.00491     +0.692385 
   5    0    5  6   0  0 0.015 01.1  0.00500   +1.00098   +1.00629     +0.530480 
   6    0    6  6   0  0 0.015 01.1  0.00495   +0.99000   +0.98901     -0.100000 
   7    0    7  6   0  0 0.015 01.1  0.00493   +0.98600   +0.97872     -0.738337 
   8    0    8  6   0  0 0.015 01.1  0.00507   +1.01500   +1.00606     -0.880788 
   9    0    9  6   0  0 0.015 01.1  0.00526   +1.05173   +1.05361     +0.178753 
  10    0   10  6   0  0 0.015 01.1  0.00525   +1.05000   +1.05858     +0.817143 
  11    0   11  6   0  0 0.015 01.1  0.00488   +0.97709   +0.97911     +0.206736 
  12    0   12  6   0  0 0.015 01.1  0.00491   +0.98195   +0.98216     +0.021386 
  13    0   13  6   0  0 0.015 01.1  0.00476   +0.95261   +0.96505     +1.305886 
  14    0   14  6   0  0 0.015 01.1  0.00485   +0.97089   +0.96903     -0.191577 
  15    0   15  6   0  0 0.015 01.1  0.00478   +0.95570   +0.96306     +0.770116 
  16    0   16  6   0  0 0.015 01.1  0.00483   +0.96608   +0.96358     -0.258778 
