================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee57_2_0200.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee57_2_0200.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/25/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 57 Bus Test Case
Número de barras:              57 
Número de ramos:               80 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  0 0.015 01.1  0.00520   +1.04000   +1.05399     +1.345192 
   2    0    2  6   0  0 0.015 01.1  0.00513   +1.02629   +1.02680     +0.049694 
   3    0    3  6   0  0 0.015 01.1  0.00508   +1.01537   +1.02928     +1.369944 
   4    0    4  6   0  0 0.015 01.1  0.00506   +1.01254   +1.00562     -0.683430 
   5    0    5  6   0  0 0.015 01.1  0.00505   +1.01000   +1.01082     +0.081188 
   6    0    6  6   0  0 0.015 01.1  0.00505   +1.01067   +1.02314     +1.233835 
   7    0    7  6   0  0 0.015 01.1  0.00505   +1.01006   +1.00141     -0.856385 
   8    0    8  6   0  0 0.015 01.1  0.00502   +1.00500   +1.01485     +0.980100 
   9    0    9  6   0  0 0.015 01.1  0.00502   +1.00452   +0.99362     -1.085095 
  10    0   10  6   0  0 0.015 01.1  0.00504   +1.00867   +1.00678     -0.187375 
  11    0   11  6   0  0 0.015 01.1  0.00502   +1.00508   +1.01640     +1.126279 
  12    0   12  6   0  0 0.015 01.1  0.00507   +1.01500   +1.02122     +0.612808 
  13    0   13  6   0  0 0.015 01.1  0.00503   +1.00538   +1.00529     -0.008952 
  14    0   14  6   0  0 0.015 01.1  0.00502   +1.00403   +1.00734     +0.329671 
  15    0   15  6   0  0 0.015 01.1  0.00506   +1.01165   +0.99883     -1.267237 
  16    0   16  6   0  0 0.015 01.1  0.00509   +1.01881   +1.01091     -0.775414 
  17    0   17  6   0  0 0.015 01.1  0.00513   +1.02642   +1.01182     -1.422420 
  18    0   18  6   0  0 0.015 01.1  0.00530   +1.05947   +1.07049     +1.040143 
  19    0   19  6   0  0 0.015 01.1  0.00526   +1.05121   +1.03591     -1.455466 
  20    0   20  6   0  0 0.015 01.1  0.00524   +1.04779   +1.04937     +0.150794 
  21    0   21  6   0  0 0.015 01.1  0.00544   +1.08773   +1.07532     -1.140908 
  22    0   22  6   0  0 0.015 01.1  0.00544   +1.08716   +1.09003     +0.263991 
  23    0   23  6   0  0 0.015 01.1  0.00544   +1.08752   +1.09151     +0.366890 
  24    0   24  6   0  0 0.015 01.1  0.00548   +1.09571   +1.10383     +0.741072 
  25    0   25  6   0  0 0.015 01.1  0.00564   +1.12863   +1.12220     -0.569717 
  26    0   26  6   0  0 0.015 01.1  0.00522   +1.04447   +1.05752     +1.249438 
  27    0   27  6   0  0 0.015 01.1  0.00524   +1.04775   +1.05662     +0.846576 
  28    0   28  6   0  0 0.015 01.1  0.00526   +1.05111   +1.03853     -1.196830 
  29    0   29  6   0  0 0.015 01.1  0.00527   +1.05481   +1.04788     -0.656990 
  30    0   30  6   0  0 0.015 01.1  0.00562   +1.12351   +1.13725     +1.222953 
  31    0   31  6   0  0 0.015 01.1  0.00557   +1.11391   +1.10092     -1.166162 
