================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee57_24_2400.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee57_24_2400.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/25/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 57 Bus Test Case
Número de barras:              57 
Número de ramos:               80 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  0 0.015 01.1  0.00520   +1.04000   +1.02840     -1.115385 
   2    0    2  6   0  0 0.015 01.1  0.00513   +1.02584   +1.02924     +0.331436 
   3    0    3  6   0  0 0.015 01.1  0.00509   +1.01891   +1.02238     +0.340560 
   4    0    4  6   0  0 0.015 01.1  0.00508   +1.01577   +1.00769     -0.795456 
   5    0    5  6   0  0 0.015 01.1  0.00506   +1.01122   +1.02207     +1.072961 
   6    0    6  6   0  0 0.015 01.1  0.00505   +1.01086   +0.99920     -1.153473 
   7    0    7  6   0  0 0.015 01.1  0.00504   +1.00890   +1.02047     +1.146794 
   8    0    8  6   0  0 0.015 01.1  0.00502   +1.00500   +1.00165     -0.333333 
   9    0    9  6   0  0 0.015 01.1  0.00500   +1.00098   +0.99497     -0.600412 
  10    0   10  6   0  0 0.015 01.1  0.00503   +1.00629   +1.01392     +0.758231 
  11    0   11  6   0  0 0.015 01.1  0.00501   +1.00282   +0.99576     -0.704015 
  12    0   12  6   0  0 0.015 01.1  0.00507   +1.01500   +1.01578     +0.076847 
  13    0   13  6   0  0 0.015 01.1  0.00502   +1.00476   +0.99660     -0.812134 
  14    0   14  6   0  0 0.015 01.1  0.00502   +1.00373   +0.99037     -1.331035 
  15    0   15  6   0  0 0.015 01.1  0.00507   +1.01352   +1.02349     +0.983700 
  16    0   16  6   0  0 0.015 01.1  0.00510   +1.01975   +1.00800     -1.152243 
  17    0   17  6   0  0 0.015 01.1  0.00514   +1.02721   +1.02850     +0.125583 
  18    0   18  6   0  0 0.015 01.1  0.00530   +1.06002   +1.06398     +0.373578 
  19    0   19  6   0  0 0.015 01.1  0.00524   +1.04746   +1.03176     -1.498864 
  20    0   20  6   0  0 0.015 01.1  0.00521   +1.04221   +1.03170     -1.008434 
  21    0   21  6   0  0 0.015 01.1  0.00541   +1.08305   +1.06711     -1.471770 
  22    0   22  6   0  0 0.015 01.1  0.00541   +1.08244   +1.09065     +0.758472 
  23    0   23  6   0  0 0.015 01.1  0.00541   +1.08259   +1.08921     +0.611497 
  24    0   24  6   0  0 0.015 01.1  0.00544   +1.08853   +1.08384     -0.430856 
  25    0   25  6   0  0 0.015 01.1  0.00558   +1.11613   +1.12184     +0.511589 
  26    0   26  6   0  0 0.015 01.1  0.00519   +1.03832   +1.02558     -1.226982 
  27    0   27  6   0  0 0.015 01.1  0.00521   +1.04287   +1.05296     +0.967522 
  28    0   28  6   0  0 0.015 01.1  0.00524   +1.04712   +1.04471     -0.230155 
  29    0   29  6   0  0 0.015 01.1  0.00526   +1.05168   +1.03911     -1.195230 
  30    0   30  6   0  0 0.015 01.1  0.00555   +1.10948   +1.09608     -1.207773 
  31    0   31  6   0  0 0.015 01.1  0.00549   +1.09824   +1.08527     -1.180980 
  32    0   32  6   0  0 0.015 01.1  0.00546   +1.09224   +1.09613     +0.356149 
  33    0   33  6   0  0 0.015 01.1  0.00546   +1.09175   +1.08196     -0.896725 
