================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee30_12_1200.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee30_12_1200.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/20/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 30 Bus Test Case
Número de barras:              30 
Número de ramos:               41 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  0 0.015 01.1  0.00530   +1.06000   +1.05754     -0.232075 
   2    0    2  6   0  0 0.015 01.1  0.00522   +1.04500   +1.05891     +1.331100 
   3    0    3  6   0  0 0.015 01.1  0.00499   +0.99877   +0.98382     -1.496841 
   4    0    4  6   0  0 0.015 01.1  0.00492   +0.98421   +0.99842     +1.443798 
   5    0    5  6   0  0 0.015 01.1  0.00486   +0.97194   +0.97398     +0.209889 
   6    0    6  6   0  0 0.015 01.1  0.00487   +0.97382   +0.96933     -0.461071 
   7    0    7  6   0  0 0.015 01.1  0.00481   +0.96167   +0.96333     +0.172616 
   8    0    8  6   0  0 0.015 01.1  0.00485   +0.96922   +0.96340     -0.600483 
   9    0    9  6   0  0 0.015 01.1  0.00504   +1.00866   +0.99835     -1.022148 
  10    0   10  6   0  0 0.015 01.1  0.00497   +0.99334   +0.99827     +0.496305 
  11    0   11  6   0  0 0.015 01.1  0.00528   +1.05594   +1.06177     +0.552115 
  12    0   12  6   0  0 0.015 01.1  0.00511   +1.02213   +1.03110     +0.877579 
  13    0   13  6   0  0 0.015 01.1  0.00527   +1.05401   +1.04923     -0.453506 
  14    0   14  6   0  0 0.015 01.1  0.00500   +0.99983   +0.99233     -0.750128 
  15    0   15  6   0  0 0.015 01.1  0.00496   +0.99173   +0.98712     -0.464844 
  16    0   16  6   0  0 0.015 01.1  0.00500   +0.99920   +0.99406     -0.514412 
