================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee30_15_1500.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee30_15_1500.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/20/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 30 Bus Test Case
Número de barras:              30 
Número de ramos:               41 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  0 0.015 01.1  0.00530   +1.06000   +1.05866     -0.126415 
   2    0    2  6   0  0 0.015 01.1  0.00522   +1.04500   +1.03176     -1.266986 
   3    0    3  6   0  0 0.015 01.1  0.00499   +0.99864   +1.01077     +1.214652 
   4    0    4  6   0  0 0.015 01.1  0.00492   +0.98405   +0.97761     -0.654438 
   5    0    5  6   0  0 0.015 01.1  0.00486   +0.97188   +0.97520     +0.341606 
   6    0    6  6   0  0 0.015 01.1  0.00487   +0.97373   +0.97845     +0.484734 
   7    0    7  6   0  0 0.015 01.1  0.00481   +0.96159   +0.95294     -0.899552 
   8    0    8  6   0  0 0.015 01.1  0.00485   +0.96913   +0.98250     +1.379588 
   9    0    9  6   0  0 0.015 01.1  0.00504   +1.00867   +1.01366     +0.494711 
  10    0   10  6   0  0 0.015 01.1  0.00497   +0.99339   +0.99462     +0.123818 
  11    0   11  6   0  0 0.015 01.1  0.00528   +1.05594   +1.06763     +1.107070 
  12    0   12  6   0  0 0.015 01.1  0.00511   +1.02207   +1.02381     +0.170243 
  13    0   13  6   0  0 0.015 01.1  0.00527   +1.05395   +1.03881     -1.436501 
  14    0   14  6   0  0 0.015 01.1  0.00500   +0.99977   +0.99925     -0.052012 
  15    0   15  6   0  0 0.015 01.1  0.00496   +0.99168   +1.00085     +0.924693 
  16    0   16  6   0  0 0.015 01.1  0.00500   +0.99919   +1.00626     +0.707573 
  17    0   17  6   0  0 0.015 01.1  0.00494   +0.98819   +0.99033     +0.216558 
  18    0   18  6   0  0 0.015 01.1  0.00488   +0.97519   +0.96083     -1.472534 
  19    0   19  6   0  0 0.015 01.1  0.00485   +0.96989   +0.97624     +0.654713 
  20    0   20  6   0  0 0.015 01.1  0.00487   +0.97467   +0.97319     -0.151846 
  21    0   21  6   0  0 0.015 01.1  0.00488   +0.97607   +0.98074     +0.478449 
  22    0   22  6   0  0 0.015 01.1  0.00488   +0.97686   +0.98428     +0.759577 
  23    0   23  6   0  0 0.015 01.1  0.00487   +0.97362   +0.98252     +0.914114 
  24    0   24  6   0  0 0.015 01.1  0.00481   +0.96129   +0.94771     -1.412685 
  25    0   25  6   0  0 0.015 01.1  0.00479   +0.95826   +0.96630     +0.839021 
  26    0   26  6   0  0 0.015 01.1  0.00466   +0.93275   +0.93464     +0.202627 
  27    0   27  6   0  0 0.015 01.1  0.00484   +0.96877   +0.95645     -1.271716 
  28    0   28  6   0  0 0.015 01.1  0.00483   +0.96628   +0.95908     -0.745126 
  29    0   29  6   0  0 0.015 01.1  0.00470   +0.94016   +0.92982     -1.099813 
  30    0   30  6   0  0 0.015 01.1  0.00462   +0.92369   +0.92547     +0.192705 
  31    0    1  2   0  0 0.020 01.0  0.00307   +0.20070   +0.20146     +0.378675 
  32    0    2  2   0  0 0.020 01.0  0.02507   +3.50100   +3.43615     -1.852328 
  33    0    3  2   0  0 0.020 01.0  0.00195   -0.03200   -0.02630    -17.812500 
  34    0    4  2   0  0 0.020 01.0  0.00187   -0.02000   -0.02279    +13.950000 
  35    0    5  2   0  0 0.020 01.0  0.01009   -1.25300   -1.26417     +0.891460 
  36    0    6  2   0  0 0.020 01.0  0.00173   -0.00000   -0.00207     +0.000000 
  37    0    7  2   0  0 0.020 01.0  0.00375   -0.30300   -0.31331     +3.402640 
  38    0    8  2   0  0 0.020 01.0  0.00439   -0.39900   -0.39826     -0.185464 
