================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee14_20_2000.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee14_20_2000.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/19/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1962
Estação:                       W
Identificação:                 IEEE 14 Bus Test Case
Número de barras:              14 
Número de ramos:               20 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  1 0.015 01.1  0.00530   +1.06000   +1.05688     -0.294340 
   2    0    2  6   0  0 0.015 01.1  0.00522   +1.04500   +1.04914     +0.396172 
   3    0    3  6   0  0 0.015 01.1  0.00505   +1.01000   +1.02470     +1.455446 
   4    0    4  6   0  1 0.015 01.1  0.00511   +1.02278   +1.02460     +0.177946 
   5    0    5  6   0  0 0.015 01.1  0.00512   +1.02487   +1.03821     +1.301628 
   6    0    6  6   0  0 0.015 01.1  0.00535   +1.07000   +1.07707     +0.660748 
   7    0    7  6   0  0 0.015 01.1  0.00533   +1.06660   +1.06609     -0.047815 
   8    0    8  6   0  0 0.015 01.1  0.00545   +1.09000   +1.09455     +0.417431 
   9    0    9  6   0  1 0.015 01.1  0.00532   +1.06365   +1.07602     +1.162977 
  10    0   10  6   0  0 0.015 01.1  0.00530   +1.06080   +1.05122     -0.903092 
  11    0   11  6   0  0 0.015 01.1  0.00532   +1.06297   +1.05964     -0.313273 
  12    0   12  6   0  0 0.015 01.1  0.00530   +1.06036   +1.07602     +1.476857 
  13    0   13  6   0  0 0.015 01.1  0.00529   +1.05723   +1.05413     -0.293219 
  14    0   14  6   0  0 0.015 01.1  0.00524   +1.04881   +1.05381     +0.476731 
  15    0    1  2   0  0 0.020 01.0  0.00935   +1.14198   +1.16449     +1.971138 
  16    0    2  2   0  0 0.020 01.0  0.00654   +0.72100   +0.74044     +2.696255 
  17    0    3  2   0  0 0.020 01.0  0.00601   -0.64100   -0.63548     -0.861154 
  18    0    4  2   0  0 0.020 01.0  0.00476   -0.45400   -0.46518     +2.462555 
  19    0    5  2   0  0 0.020 01.0  0.00208   -0.05200   -0.05779    +11.134615 
  20    0    6  2   0  0 0.020 01.0  0.00224   -0.07600   -0.07441     -2.092105 
  21    0    7  2   0  0 0.020 01.0  0.00173   +0.00000   +0.00070     +0.000000 
  22    0    8  2   0  0 0.020 01.0  0.00173   -0.00000   +0.00480     +0.000000 
  23    0    9  2   0  0 0.020 01.0  0.00360   -0.28000   -0.27468     -1.900000 
  24    0   10  2   0  0 0.020 01.0  0.00203   -0.04500   -0.04302     -4.400000 
  25    0   11  2   0  0 0.020 01.0  0.00189   -0.02400   -0.02374     -1.083333 
  26    0   12  2   0  0 0.020 01.0  0.00201   -0.04100   -0.04389     +7.048780 
  27    0   13  2   0  0 0.020 01.0  0.00235   -0.09200   -0.08550     -7.065217 
  28    0   14  2   0  0 0.020 01.0  0.00241   -0.10100   -0.10042     -0.574257 
  29    0    1  5   0  0 0.020 01.0  0.00225   +0.07748   +0.07114     -8.182757 
  30    0    2  5   0  0 0.020 01.0  0.00200   -0.04066   -0.03829     -5.828824 
  31    0    3  5   0  0 0.020 01.0  0.00231   -0.08650   -0.08623     -0.312139 
  32    0    4  5   0  0 0.020 01.0  0.00198   +0.03700   +0.03176    -14.162162 
  33    0    5  5   0  0 0.020 01.0  0.00181   -0.01100   -0.00677    -38.454545 
  34    0    6  5   0  0 0.020 01.0  0.00206   -0.04859   -0.05069     +4.321877 
  35    0    7  5   0  0 0.020 01.0  0.00173   +0.00000   -0.00281     +0.000000 
  36    0    8  5   0  0 0.020 01.0  0.00270   +0.14480   +0.13855     -4.316298 
  37    0    9  5   0  0 0.020 01.0  0.00279   -0.15800   -0.16116     +2.000000 
  38    0   10  5   0  0 0.020 01.0  0.00193   -0.02900   -0.03214    +10.827586 
  39    0   11  5   0  0 0.020 01.0  0.00181   -0.01200   -0.01035    -13.750000 
  40    0   12  5   0  0 0.020 01.0  0.00181   -0.01100   -0.01570    +42.727273 
  41    0   13  5   0  0 0.020 01.0  0.00199   -0.03900   -0.04169     +6.897436 
  42    0   14  5   0  0 0.020 01.0  0.00196   -0.03400   -0.03657     +7.558824 
  43    1    2  1   0  0 0.020 01.0  0.00618   +0.66724   +0.68134     +2.113183 
  44    1    5  1   0  0 0.020 01.0  0.00490   +0.47474   +0.47310     -0.345452 
  45    2    3  1   0  0 0.020 01.0  0.00530   +0.53504   +0.54318     +1.521382 
  46    2    4  1   0  0 0.020 01.0  0.00491   +0.47635   +0.47940     +0.640286 
  47    2    5  1   0  0 0.020 01.0  0.00419   +0.36910   +0.37623     +1.931726 
  48    3    4  1   0  0 0.020 01.0  0.00252   -0.11857   -0.12442     +4.933794 
  49    4    5  1   0  0 0.020 01.0  0.00478   -0.45734   -0.44361     -3.002143 
  50    4    7  1   0  0 0.020 01.0  0.00321   +0.22115   +0.22786     +3.034140 
  51    4    9  1   0  0 0.020 01.0  0.00258   +0.12692   +0.11997     -5.475890 
  52    5    6  1   0  0 0.020 01.0  0.00382   +0.31350   +0.31272     -0.248804 
  53    6   11  1   0  0 0.020 01.0  0.00212   +0.05826   +0.05604     -3.810505 
  54    6   12  1   0  0 0.020 01.0  0.00209   +0.05356   +0.05519     +3.043316 
  55    6   13  1   0  0 0.020 01.0  0.00257   +0.12568   +0.12152     -3.309994 
  56    7    8  1   0  0 0.020 01.0  0.00173   +0.00000   +0.00083     +0.000000 
  57    7    9  1   0  0 0.020 01.0  0.00321   +0.22115   +0.22313     +0.895320 
  58    9   10  1   0  0 0.020 01.0  0.00181   +0.01114   +0.01223     +9.784560 
  59    9   14  1   0  0 0.020 01.0  0.00211   +0.05693   +0.05627     -1.159318 
  60   10   11  1   0  0 0.020 01.0  0.00196   -0.03389   -0.03935    +16.110947 
  61   12   13  1   0  0 0.020 01.0  0.00181   +0.01223   +0.01238     +1.226492 
  62   13   14  1   0  0 0.020 01.0  0.00203   +0.04486   +0.04374     -2.496656 
  63    1    2  4   0  0 0.020 01.0  0.00194   +0.03170   +0.02713    -14.416404 
  64    1    5  4   0  0 0.020 01.0  0.00204   +0.04578   +0.04529     -1.070336 
  65    2    3  4   0  0 0.020 01.0  0.00213   +0.05881   +0.05818     -1.071246 
  66    2    4  4   0  0 0.020 01.0  0.00190   -0.02494   -0.02436     -2.325581 
  67    2    5  4   0  0 0.020 01.0  0.00179   -0.00797   -0.00470    -41.028858 
  68    3    4  4   0  0 0.020 01.0  0.00196   -0.03458   -0.03221     -6.853673 
  69    4    5  4   0  0 0.020 01.0  0.00239   +0.09890   +0.10424     +5.399393 
  70    4    7  4   0  0 0.020 01.0  0.00240   -0.09950   -0.10594     +6.472362 
  71    4    9  4   0  0 0.020 01.0  0.00181   -0.01148   -0.01452    +26.480836 
  72    5    6  4   0  0 0.020 01.0  0.00267   +0.13991   +0.13927     -0.457437 
  73    6   11  4   0  0 0.020 01.0  0.00180   +0.01022   +0.01518    +48.532290 
  74    6   12  4   0  0 0.020 01.0  0.00183   +0.01482   +0.01801    +21.524966 
  75    6   13  4   0  0 0.020 01.0  0.00201   +0.04172   +0.04114     -1.390221 
  76    7    8  4   0  0 0.020 01.0  0.00268   -0.14169   -0.14437     +1.891453 
  77    7    9  4   0  0 0.020 01.0  0.00194   +0.03095   +0.02582    -16.575121 
  78    9   10  4   0  0 0.020 01.0  0.00194   +0.03167   +0.03448     +8.872750 
  79    9   14  4   0  0 0.020 01.0  0.00195   +0.03183   +0.03191     +0.251335 
  80   10   11  4   0  0 0.020 01.0  0.00175   +0.00259   -0.00057   -122.007722 
  81   12   13  4   0  0 0.020 01.0  0.00175   +0.00313   +0.00236    -24.600639 
  82   13   14  4   0  0 0.020 01.0  0.00176   +0.00382   +0.00032    -91.623037 
  83    2    1  1   0  0 0.020 01.0  0.00613   -0.65950   -0.65024     -1.404094 
  84    5    1  1   0  0 0.020 01.0  0.00482   -0.46364   -0.46745     +0.821758 
  85    3    2  1   0  0 0.020 01.0  0.00522   -0.52243   -0.50860     -2.647245 
  86    4    2  1   0  0 0.020 01.0  0.00483   -0.46428   -0.47826     +3.011114 
  87    5    2  1   0  0 0.020 01.0  0.00415   -0.36199   -0.35380     -2.262493 
  88    4    3  1   0  0 0.020 01.0  0.00253   +0.11955   +0.12147     +1.606023 
  89    5    4  1   0  0 0.020 01.0  0.00480   +0.46014   +0.46125     +0.241231 
  90    7    4  1   0  0 0.020 01.0  0.00321   -0.22115   -0.21825     -1.311327 
  91    9    4  1   0  0 0.020 01.0  0.00258   -0.12692   -0.12341     -2.765522 
  92    6    5  1   0  0 0.020 01.0  0.00382   -0.31350   -0.32280     +2.966507 
  93   11    6  1   0  0 0.020 01.0  0.00212   -0.05797   -0.05317     -8.280145 
  94   12    6  1   0  0 0.020 01.0  0.00209   -0.05323   -0.05931    +11.422130 
  95   13    6  1   0  0 0.020 01.0  0.00256   -0.12467   -0.12783     +2.534692 
  96    8    7  1   0  0 0.020 01.0  0.00173   -0.00000   -0.00333     +0.000000 
  97    9    7  1   0  0 0.020 01.0  0.00321   -0.22115   -0.21295     -3.707891 
  98   10    9  1   0  0 0.020 01.0  0.00181   -0.01111   -0.01580    +42.214221 
  99   14    9  1   0  0 0.020 01.0  0.00211   -0.05645   -0.05542     -1.824624 
 100   11   10  1   0  0 0.020 01.0  0.00196   +0.03397   +0.03558     +4.739476 
 101   13   12  1   0  0 0.020 01.0  0.00181   -0.01219   -0.01055    -13.453651 
 102   14   13  1   0  0 0.020 01.0  0.00203   -0.04455   -0.04011     -9.966330 
 103    2    1  4   0  0 0.020 01.0  0.00218   -0.06655   -0.07235     +8.715252 
 104    5    1  4   0  0 0.020 01.0  0.00209   -0.05345   -0.04948     -7.427502 
 105    3    2  4   0  0 0.020 01.0  0.00208   -0.05193   -0.05157     -0.693241 
 106    4    2  4   0  0 0.020 01.0  0.00190   +0.02524   +0.02746     +8.795563 
 107    5    2  4   0  0 0.020 01.0  0.00178   -0.00738   -0.01046    +41.734417 
 108    4    3  4   0  0 0.020 01.0  0.00189   +0.02384   +0.02433     +2.055369 
 109    5    4  4   0  0 0.020 01.0  0.00233   -0.09008   -0.08725     -3.141652 
 110    7    4  4   0  0 0.020 01.0  0.00247   +0.11074   +0.11751     +6.113419 
 111    9    4  4   0  0 0.020 01.0  0.00186   +0.01959   +0.01897     -3.164880 
 112    6    5  4   0  0 0.020 01.0  0.00250   -0.11535   -0.12157     +5.392284 
 113   11    6  4   0  0 0.020 01.0  0.00180   -0.00961   -0.01439    +49.739854 
 114   12    6  4   0  0 0.020 01.0  0.00183   -0.01413   -0.01271    -10.049540 
 115   13    6  4   0  0 0.020 01.0  0.00200   -0.03972   -0.03617     -8.937563 
 116    8    7  4   0  0 0.020 01.0  0.00270   +0.14480   +0.14790     +2.140884 
 117    9    7  4   0  0 0.020 01.0  0.00191   -0.02613   -0.02790     +6.773823 
 118   10    9  4   0  0 0.020 01.0  0.00194   -0.03159   -0.02637    -16.524217 
 119   14    9  4   0  0 0.020 01.0  0.00194   -0.03081   -0.03058     -0.746511 
 120   11   10  4   0  0 0.020 01.0  0.00175   -0.00239   +0.00238   -199.581590 
 121   13   12  4   0  0 0.020 01.0  0.00175   -0.00310   -0.00759   +144.838710 
 122   14   13  4   0  0 0.020 01.0  0.00176   -0.00319   -0.00627    +96.551724 
----------------------------------------------------------------------------------
Número de medidores SCADA:     122
Número de PMUs:                0
Número de medidas das PMUs:    0
----------------------------------------------------------------------------------

Não há medidas de ângulo.
Medidores desabilitados:
Medidor 1.
Medidor 4.
Medidor 9.
============================== Estado Estimado ===================================
                 Barra     Mod(pu)    Ang(graus)              
----------------------------------------------------------------------------------
                    1            1.0650              0.00        
                    2            1.0502             -1.97        
                    3            1.0153             -7.50        
                    4            1.0278             -6.49        
                    5            1.0299             -5.38        
                    6            1.0754             -9.21        
                    7            1.0718             -8.83        
                    8            1.0953             -8.83        
                    9            1.0690            -10.03        
                   10            1.0660            -10.04        
                   11            1.0685             -9.71        
                   12            1.0653             -9.83        
                   13            1.0627             -9.89        
                   14            1.0543            -10.62        
----------------------------------------------------------------------------------
Convergiu em:    3 iteraçoes. 
----------------------------------------------------------------------------------
--- RESIDUOS NORMALIZADOS --------------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  85    3    2  1    -0.5224    -0.5086    -0.5257  +1.7079e-02      0.249 
