================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Med\ieee14_19_1900.med
Arquivo do sistema:            F:\Documents\Uff\Artigos\SimSEP\VERSAO WELDAN V2\Codigos\Carga\ieee14_19_1900.txt
Tolerância entre iteraçoes:     1.00e-04
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/19/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1962
Estação:                       W
Identificação:                 IEEE 14 Bus Test Case
Número de barras:              14 
Número de ramos:               20 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   0  1 0.015 01.1  0.00530   +1.06000   +1.05071     -0.876415 
   2    0    2  6   0  0 0.015 01.1  0.00522   +1.04500   +1.03620     -0.842105 
   3    0    3  6   0  0 0.015 01.1  0.00505   +1.01000   +1.00472     -0.522772 
   4    0    4  6   0  1 0.015 01.1  0.00509   +1.01767   +1.00534     -1.211591 
   5    0    5  6   0  0 0.015 01.1  0.00510   +1.01951   +1.02708     +0.742514 
   6    0    6  6   0  0 0.015 01.1  0.00535   +1.07000   +1.07798     +0.745794 
   7    0    7  6   0  0 0.015 01.1  0.00531   +1.06152   +1.06290     +0.130002 
   8    0    8  6   0  0 0.015 01.1  0.00545   +1.09000   +1.08471     -0.485321 
   9    0    9  6   0  1 0.015 01.1  0.00528   +1.05593   +1.06646     +0.997225 
  10    0   10  6   0  0 0.015 01.1  0.00526   +1.05098   +1.05264     +0.157948 
  11    0   11  6   0  0 0.015 01.1  0.00528   +1.05691   +1.07141     +1.371924 
  12    0   12  6   0  0 0.015 01.1  0.00528   +1.05519   +1.06762     +1.177987 
  13    0   13  6   0  0 0.015 01.1  0.00525   +1.05038   +1.04586     -0.430320 
  14    0   14  6   0  0 0.015 01.1  0.00518   +1.03553   +1.03697     +0.139059 
  15    0    1  2   0  0 0.020 01.0  0.01723   +2.32393   +2.30809     -0.681604 
  16    0    2  2   0  0 0.020 01.0  0.00295   +0.18300   +0.18518     +1.191257 
  17    0    3  2   0  0 0.020 01.0  0.00801   -0.94200   -0.92774     -1.513800 
  18    0    4  2   0  0 0.020 01.0  0.00492   -0.47800   -0.47074     -1.518828 
  19    0    5  2   0  0 0.020 01.0  0.00224   -0.07600   -0.08103     +6.618421 
  20    0    6  2   0  0 0.020 01.0  0.00248   -0.11200   -0.10720     -4.285714 
  21    0    7  2   0  0 0.020 01.0  0.00173   +0.00000   -0.00494     +0.000000 
  22    0    8  2   0  0 0.020 01.0  0.00173   -0.00000   -0.00089     +0.000000 
  23    0    9  2   0  0 0.020 01.0  0.00370   -0.29500   -0.28986     -1.742373 
  24    0   10  2   0  0 0.020 01.0  0.00233   -0.09000   -0.08606     -4.377778 
  25    0   11  2   0  0 0.020 01.0  0.00197   -0.03500   -0.03657     +4.485714 
  26    0   12  2   0  0 0.020 01.0  0.00214   -0.06100   -0.05786     -5.147541 
  27    0   13  2   0  0 0.020 01.0  0.00263   -0.13500   -0.12880     -4.592593 
  28    0   14  2   0  0 0.020 01.0  0.00273   -0.14900   -0.15321     +2.825503 
  29    0    1  5   0  0 0.020 01.0  0.00284   -0.16549   -0.17180     +3.812919 
  30    0    2  5   0  0 0.020 01.0  0.00379   +0.30857   +0.30232     -2.025472 
  31    0    3  5   0  0 0.020 01.0  0.00214   +0.06075   +0.05883     -3.160494 
  32    0    4  5   0  0 0.020 01.0  0.00199   +0.03900   +0.03645     -6.538462 
  33    0    5  5   0  0 0.020 01.0  0.00184   -0.01600   -0.01128    -29.500000 
  34    0    6  5   0  0 0.020 01.0  0.00208   +0.05231   +0.04670    -10.724527 
  35    0    7  5   0  0 0.020 01.0  0.00173   +0.00000   +0.00096     +0.000000 
  36    0    8  5   0  0 0.020 01.0  0.00291   +0.17623   +0.17035     -3.336549 
  37    0    9  5   0  0 0.020 01.0  0.00284   -0.16600   -0.16023     -3.475904 
  38    0   10  5   0  0 0.020 01.0  0.00212   -0.05800   -0.06223     +7.293103 
  39    0   11  5   0  0 0.020 01.0  0.00185   -0.01800   -0.01798     -0.111111 
  40    0   12  5   0  0 0.020 01.0  0.00184   -0.01600   -0.01049    -34.437500 
  41    0   13  5   0  0 0.020 01.0  0.00212   -0.05800   -0.05984     +3.172414 
  42    0   14  5   0  0 0.020 01.0  0.00207   -0.05000   -0.05562    +11.240000 
  43    1    2  1   0  0 0.020 01.0  0.01219   +1.56883   +1.54788     -1.335390 
  44    1    5  1   0  0 0.020 01.0  0.00677   +0.75510   +0.75096     -0.548272 
  45    2    3  1   0  0 0.020 01.0  0.00662   +0.73238   +0.72577     -0.902537 
  46    2    4  1   0  0 0.020 01.0  0.00547   +0.56131   +0.55243     -1.582014 
  47    2    5  1   0  0 0.020 01.0  0.00450   +0.41516   +0.42694     +2.837460 
  48    3    4  1   0  0 0.020 01.0  0.00329   -0.23286   -0.22925     -1.550288 
  49    4    5  1   0  0 0.020 01.0  0.00581   -0.61158   -0.59547     -2.634161 
  50    4    7  1   0  0 0.020 01.0  0.00361   +0.28074   +0.27940     -0.477310 
  51    4    9  1   0  0 0.020 01.0  0.00281   +0.16080   +0.16821     +4.608209 
  52    5    6  1   0  0 0.020 01.0  0.00467   +0.44087   +0.42702     -3.141516 
  53    6   11  1   0  0 0.020 01.0  0.00222   +0.07353   +0.07500     +1.999184 
  54    6   12  1   0  0 0.020 01.0  0.00225   +0.07786   +0.08193     +5.227331 
  55    6   13  1   0  0 0.020 01.0  0.00292   +0.17748   +0.17281     -2.631282 
  56    7    8  1   0  0 0.020 01.0  0.00173   +0.00000   +0.00450     +0.000000 
  57    7    9  1   0  0 0.020 01.0  0.00361   +0.28074   +0.28644     +2.030348 
  58    9   10  1   0  0 0.020 01.0  0.00208   +0.05228   +0.05635     +7.785004 
  59    9   14  1   0  0 0.020 01.0  0.00236   +0.09426   +0.09530     +1.103331 
  60   10   11  1   0  0 0.020 01.0  0.00199   -0.03785   -0.03437     -9.194188 
  61   12   13  1   0  0 0.020 01.0  0.00184   +0.01614   +0.01425    -11.710037 
  62   13   14  1   0  0 0.020 01.0  0.00211   +0.05644   +0.05294     -6.201276 
  63    1    2  4   0  0 0.020 01.0  0.00309   -0.20404   -0.20753     +1.710449 
  64    1    5  4   0  0 0.020 01.0  0.00199   +0.03855   +0.03956     +2.619974 
  65    2    3  4   0  0 0.020 01.0  0.00197   +0.03560   +0.03950    +10.955056 
  66    2    4  4   0  0 0.020 01.0  0.00184   -0.01550   -0.01781    +14.903226 
  67    2    5  4   0  0 0.020 01.0  0.00181   +0.01171   +0.01065     -9.052092 
  68    3    4  4   0  0 0.020 01.0  0.00203   +0.04473   +0.04914     +9.859155 
  69    4    5  4   0  0 0.020 01.0  0.00279   +0.15824   +0.16016     +1.213347 
  70    4    7  4   0  0 0.020 01.0  0.00238   -0.09681   -0.08980     -7.240988 
  71    4    9  4   0  0 0.020 01.0  0.00176   -0.00428   -0.00741    +73.130841 
  72    5    6  4   0  0 0.020 01.0  0.00257   +0.12471   +0.12974     +4.033357 
  73    6   11  4   0  0 0.020 01.0  0.00197   +0.03560   +0.03768     +5.842697 
  74    6   12  4   0  0 0.020 01.0  0.00190   +0.02503   +0.02217    -11.426288 
